,market_tms,btc_price,mkt_cap,total_volumes
2042,2021-08-09 02:51:42.000,43444.66081597271,815813081881.8032,815813081881.8032
2041,2021-08-09 02:01:00.170,43224.41517649429,813508239211.2329,813508239211.2329
2040,2021-08-09 01:01:04.252,43054.692312272724,810075316272.3046,810075316272.3046
2039,2021-08-09 00:00:50.195,43753.217862646314,821704814136.0109,821704814136.0109
2038,2021-08-08 23:00:30.736,44396.813230027634,833057751889.2734,833057751889.2734
2037,2021-08-08 22:01:09.740,44203.02713871914,830149425800.3225,830149425800.3225
2036,2021-08-08 21:01:14.850,43774.50094807867,822100142458.7426,822100142458.7426
2035,2021-08-08 20:00:37.521,43572.94670643278,818314100354.4872,818314100354.4872
2034,2021-08-08 19:00:57.521,43704.07122312769,822737671576.5778,822737671576.5778
2033,2021-08-08 18:00:37.312,43881.315461922284,825027738718.5695,825027738718.5695
2032,2021-08-08 17:00:50.538,43688.80033456925,820482485736.0627,820482485736.0627
2031,2021-08-08 16:01:04.770,44099.92016685909,827519525376.0867,827519525376.0867
2030,2021-08-08 15:01:03.602,43939.067824170445,830117527509.4497,830117527509.4497
2029,2021-08-08 14:01:03.776,44669.95477332531,838834772690.043,838834772690.043
2028,2021-08-08 13:01:25.723,44985.65485102847,842923316168.8528,842923316168.8528
2027,2021-08-08 12:02:12.223,44508.75716082281,835870542709.6222,835870542709.6222
2026,2021-08-08 11:01:13.533,44351.77618113693,832921611041.7002,832921611041.7002
2025,2021-08-08 10:00:05.144,44687.641873466295,839957302053.4783,839957302053.4783
2024,2021-08-08 09:29:49.249,44627.81968099991,839153551980.9993,839153551980.9993
2023,2021-08-08 09:28:19.333,44627.81968099991,839153551980.9993,839153551980.9993
2022,2021-08-08 09:26:43.276,44627.81968099991,839153551980.9993,839153551980.9993
2021,2021-08-08 08:00:03.102,44863.978956586136,841893446869.0056,841893446869.0056
2020,2021-08-08 07:01:43.976,45157.582575934204,849400839926.433,849400839926.433
2019,2021-08-08 06:00:01.546,44842.52004600221,842515794591.497,842515794591.497
2018,2021-08-08 05:00:08.948,44236.22109798704,831169552178.0745,831169552178.0745
2017,2021-08-08 04:00:59.712,44314.01082110188,830499011008.9811,830499011008.9811
2016,2021-08-08 03:01:54.761,44022.77395060531,826391992196.0602,826391992196.0602
2015,2021-08-08 02:01:43.643,44035.635601127375,826980981258.1151,826980981258.1151
2014,2021-08-08 01:03:41.497,44401.594108879035,831196288273.7478,831196288273.7478
2013,2021-08-08 00:00:00.890,44514.60551475258,835858732510.638,835858732510.638
2012,2021-08-07 23:01:52.030,43979.13920837698,825856473843.8218,825856473843.8218
2011,2021-08-07 22:01:06.404,43989.4697118426,826095011706.6523,826095011706.6523
2010,2021-08-07 21:00:54.582,43949.12831380084,825334392732.8999,825334392732.8999
2009,2021-08-07 20:01:37.294,43566.32187772424,817581294164.4158,817581294164.4158
2008,2021-08-07 19:00:04.614,43620.778436638604,818519479318.9462,818519479318.9462
2007,2021-08-07 18:01:15.408,43454.83973219603,816045475014.9459,816045475014.9459
2006,2021-08-07 17:02:11.882,44114.342503586355,819521644141.1014,819521644141.1014
2005,2021-08-07 16:01:02.240,43470.72699734159,817381885986.8513,817381885986.8513
2004,2021-08-07 15:00:28.240,43530.75270529045,818287130820.6472,818287130820.6472
2003,2021-08-07 14:01:30.215,43346.93049474344,814010620659.0112,814010620659.0112
2002,2021-08-07 13:01:49.653,43521.672901069534,817300347606.4182,817300347606.4182
2001,2021-08-07 12:00:16.685,43774.68377338093,821775520352.919,821775520352.919
2000,2021-08-07 11:00:57.490,43670.24442049261,820104774448.9268,820104774448.9268
1999,2021-08-07 10:00:11.288,43759.127003012094,822055020055.6958,822055020055.6958
1998,2021-08-07 09:00:57.879,43449.37257838608,814695446281.6058,814695446281.6058
1997,2021-08-07 08:01:40.068,43348.688977145626,814008974805.0095,814008974805.0095
1996,2021-08-07 07:00:34.532,43234.98407094415,811574345244.7141,811574345244.7141
1995,2021-08-07 06:01:43.438,43582.4177244287,814874617258.6486,814874617258.6486
1994,2021-08-07 05:01:04.349,43306.743254319044,818028304168.7993,818028304168.7993
1993,2021-08-07 04:00:52.152,43739.809987252665,816697828202.8867,816697828202.8867
1992,2021-08-07 03:01:43.145,43167.27859341427,810618372185.544,810618372185.544
1991,2021-08-07 02:01:50.589,43274.290894695165,812625709000.2515,812625709000.2515
1990,2021-08-07 01:00:22.563,43013.854463891876,804997346835.8539,804997346835.8539
1989,2021-08-07 00:00:25.322,42813.24773681491,803843944158.6367,803843944158.6367
1988,2021-08-06 23:01:18.645,42667.0899571873,801218060702.6276,801218060702.6276
1987,2021-08-06 22:01:03.083,42468.240196343,797482926203.875,797482926203.875
1986,2021-08-06 21:01:05.688,42695.32920921706,802482185024.703,802482185024.703
1985,2021-08-06 20:00:53.261,42859.35434784507,806116716591.0864,806116716591.0864
1984,2021-08-06 19:00:51.690,42777.669116615296,803288396203.6696,803288396203.6696
1983,2021-08-06 18:01:45.083,43133.3284880023,810776735232.9424,810776735232.9424
1982,2021-08-06 17:01:01.637,42343.482701375346,795132269688.8315,795132269688.8315
1981,2021-08-06 16:00:36.200,41914.170872922055,785980776564.5322,785980776564.5322
1980,2021-08-06 15:01:25.980,40846.92296591157,767025275871.575,767025275871.575
1979,2021-08-06 14:00:22.756,40915.40890292245,769028269548.7666,769028269548.7666
1978,2021-08-06 13:00:09.970,40708.265022350686,769269009065.295,769269009065.295
1977,2021-08-06 12:00:14.362,40506.12826285925,760620025907.1447,760620025907.1447
1976,2021-08-06 11:01:47.811,40763.03671597905,765816813138.625,765816813138.625
1975,2021-08-06 10:00:50.682,40665.774751153214,763615289755.8705,763615289755.8705
1974,2021-08-06 09:01:32.686,41135.48184151653,773158773119.3842,773158773119.3842
1973,2021-08-06 08:00:03.465,40926.654950362456,769256601281.7656,769256601281.7656
1972,2021-08-06 07:00:07.754,40959.42840081205,767502406653.6322,767502406653.6322
1971,2021-08-06 06:01:03.821,40665.275786599064,760767299085.9867,760767299085.9867
1970,2021-08-06 05:03:58.420,40090.91071471639,752811299581.3066,752811299581.3066
1969,2021-08-06 04:01:19.888,40126.3037557355,753474918390.9227,753474918390.9227
1968,2021-08-06 03:00:09.098,40339.04352853331,757732581500.9902,757732581500.9902
1967,2021-08-06 02:01:36.256,40652.49991439878,762295897412.2268,762295897412.2268
1966,2021-08-06 01:02:38.221,39871.57156095284,756803782810.4148,756803782810.4148
1965,2021-08-06 00:01:04.631,40825.381940449704,768416417393.5968,768416417393.5968
1964,2021-08-05 23:02:05.365,40927.23410607631,768861258880.5563,768861258880.5563
1963,2021-08-05 22:00:53.124,40844.89380017341,767503491950.1038,767503491950.1038
1962,2021-08-05 21:00:10.797,40952.35080975313,760878771035.7988,760878771035.7988
1961,2021-08-05 20:00:17.354,40663.25049633999,772670042722.0565,772670042722.0565
1960,2021-08-05 19:01:30.233,40923.46578710913,768488506953.0443,768488506953.0443
1959,2021-08-05 18:00:41.486,40580.98237542944,765186966205.608,765186966205.608
1958,2021-08-05 17:00:38.567,39464.54104250195,738502313282.7203,738502313282.7203
1957,2021-08-05 16:01:19.073,38824.02351506793,737407209288.6125,737407209288.6125
1956,2021-08-05 15:00:35.993,39028.84376674017,729937895256.494,729937895256.494
1955,2021-08-05 14:01:56.172,37964.91150820191,711855586559.5343,711855586559.5343
1954,2021-08-05 13:02:00.189,37595.74682436388,712480056937.5254,712480056937.5254
1953,2021-08-05 12:00:14.902,38097.24009234376,717204365232.199,717204365232.199
1952,2021-08-05 11:00:03.609,38051.91976641489,712234990100.3972,712234990100.3972
1951,2021-08-05 10:00:40.667,37954.52871122685,713596816684.6584,713596816684.6584
1950,2021-08-05 09:01:11.802,38683.56672332221,730470081184.6425,730470081184.6425
1949,2021-08-05 08:02:50.632,38857.427628298225,729604157311.4261,729604157311.4261
1948,2021-08-05 07:00:05.956,39106.31020922284,735398684165.0963,735398684165.0963
1947,2021-08-05 06:00:53.115,39367.72728223309,739193524693.4873,739193524693.4873
1946,2021-08-05 05:01:01.727,39369.428701541794,739223266938.2242,739223266938.2242
1945,2021-08-05 04:01:46.262,39480.85973529373,741298760428.109,741298760428.109
1944,2021-08-05 03:00:21.140,39362.19077272351,738285134693.1718,738285134693.1718
1943,2021-08-05 02:01:45.514,39417.25304412819,739337136104.1443,739337136104.1443
1942,2021-08-05 01:00:27.656,39694.017608903116,745235806547.198,745235806547.198
1941,2021-08-05 00:00:05.521,39756.280964885715,747085951935.0547,747085951935.0547
1940,2021-08-04 23:01:11.816,39653.3445541139,744493744963.7019,744493744963.7019
1939,2021-08-04 22:02:14.503,39877.20900062075,749294747141.0575,749294747141.0575
1938,2021-08-04 21:01:44.151,39673.48337976352,748003108801.0193,748003108801.0193
1937,2021-08-04 20:03:41.073,39726.56215877658,746012751246.6088,746012751246.6088
1936,2021-08-04 19:03:14.222,39627.599146935274,744453541712.7062,744453541712.7062
1935,2021-08-04 18:00:04.438,39413.01034355795,740003377522.2831,740003377522.2831
1934,2021-08-04 17:01:25.602,39513.967331935084,741915804332.1975,741915804332.1975
1933,2021-08-04 16:01:08.601,39318.43734374433,737724142567.8889,737724142567.8889
1932,2021-08-04 15:01:25.527,39135.59060332038,734813019150.7823,734813019150.7823
1931,2021-08-04 14:01:02.058,39124.055388104905,736282648290.4677,736282648290.4677
1930,2021-08-04 13:00:49.326,38723.34674216872,727070255451.2013,727070255451.2013
1929,2021-08-04 12:01:23.152,38202.4224923303,717668665554.477,717668665554.477
