,market_tms,btc_price,mkt_cap,total_volumes
2041,2021-08-09 02:00:19.000,0.068014261118194,7987264.791967095,7987264.791967095
2040,2021-08-09 01:01:04.749,0.067987533614921,7963081.094865156,7963081.094865156
2039,2021-08-09 00:00:51.978,0.06827731768407101,8021227.927321735,8021227.927321735
2038,2021-08-08 23:00:31.484,0.068702368915096,8040032.018269218,8040032.018269218
2037,2021-08-08 22:01:08.744,0.068674876857669,8036753.259803301,8036753.259803301
2036,2021-08-08 21:01:15.476,0.068082202092133,7967356.4088361375,7967356.4088361375
2035,2021-08-08 20:00:36.738,0.06803738311698601,7992523.998825862,7992523.998825862
2034,2021-08-08 19:00:47.057,0.06827736352276301,8017172.774224047,8017172.774224047
2033,2021-08-08 18:00:37.392,0.068606562086874,8034874.310192836,8034874.310192836
2032,2021-08-08 17:00:52.890,0.068761800658189,8051821.282222957,8051821.282222957
2031,2021-08-08 16:01:33.688,0.068971761195603,8073636.243994103,8073636.243994103
2030,2021-08-08 15:01:11.016,0.068997081443175,8056906.544445192,8056906.544445192
2029,2021-08-08 14:01:04.061,0.06960812276966401,8143533.493276863,8143533.493276863
2028,2021-08-08 13:01:17.581,0.06982774730515401,8166828.299793317,8166828.299793317
2027,2021-08-08 12:02:11.740,0.069685107456395,8163420.340446886,8163420.340446886
2026,2021-08-08 11:01:14.904,0.069792054442466,8167059.3537183255,8167059.3537183255
2025,2021-08-08 10:00:05.221,0.07007563952679001,8210506.526942222,8210506.526942222
2024,2021-08-08 09:29:50.488,0.07017144372697401,8204730.922360816,8204730.922360816
2023,2021-08-08 09:26:43.186,0.07017144372697401,8204730.922360816,8204730.922360816
2022,2021-08-08 08:00:06.184,0.070093209846266,8203006.843776758,8203006.843776758
2021,2021-08-08 07:01:44.014,0.07028347685903501,8248574.304661353,8248574.304661353
2020,2021-08-08 06:00:14.430,0.07005682967331,8204208.52209416,8204208.52209416
2019,2021-08-08 05:00:08.824,0.069938022941664,8180671.891121345,8180671.891121345
2018,2021-08-08 04:00:56.300,0.070552620895796,8237591.32395132,8237591.32395132
2017,2021-08-08 03:01:54.402,0.07034244798264201,8226244.295943403,8226244.295943403
2016,2021-08-08 02:01:42.813,0.070588216148012,8257725.691051556,8257725.691051556
2015,2021-08-08 01:03:09.325,0.07106126933706401,8301442.723076141,8301442.723076141
2014,2021-08-08 00:00:48.070,0.07093469088975901,8290341.661594783,8290341.661594783
2013,2021-08-07 23:01:52.219,0.070224482423255,8252004.872961898,8252004.872961898
2012,2021-08-07 22:00:28.301,0.070455105842729,8250634.915895096,8250634.915895096
2011,2021-08-07 21:00:00.885,0.07018473119212,8216265.3167644255,8216265.3167644255
2010,2021-08-07 20:00:31.945,0.069962560793044,8184169.322484089,8184169.322484089
2009,2021-08-07 19:00:04.810,0.070318358654781,8226341.897459731,8226341.897459731
2008,2021-08-07 18:01:22.721,0.070354694818494,8230601.051054396,8230601.051054396
2007,2021-08-07 17:02:12.084,0.07134379571736,8340750.637597307,8340750.637597307
2006,2021-08-07 16:00:13.299,0.07112884177337,8323465.737127393,8323465.737127393
2005,2021-08-07 15:01:09.172,0.070970362604207,8312765.532417143,8312765.532417143
2004,2021-08-07 14:01:30.258,0.07086474681917,8320488.295447474,8320488.295447474
2003,2021-08-07 13:01:39.361,0.070616054276094,8276353.314252792,8276353.314252792
2002,2021-08-07 12:00:17.026,0.070523667776806,8248023.898318991,8248023.898318991
2001,2021-08-07 11:00:56.464,0.07018596593018,8203836.67091073,8203836.67091073
2000,2021-08-07 10:00:04.936,0.06949235796055,8121174.464913689,8121174.464913689
1999,2021-08-07 09:01:44.030,0.068505761601445,7999605.990754,7999605.990754
1998,2021-08-07 08:01:39.077,0.06849887806898801,8010362.005579656,8010362.005579656
1997,2021-08-07 07:00:30.117,0.06844366082333901,8004201.562433702,8004201.562433702
1996,2021-08-07 06:01:43.917,0.06845154352721,8005708.703382256,8005708.703382256
1995,2021-08-07 05:00:02.057,0.068026406643583,7965754.265084211,7965754.265084211
1994,2021-08-07 04:01:20.483,0.06749335312790501,7908515.423080981,7908515.423080981
1993,2021-08-07 03:02:01.280,0.067671759642104,7914949.631098645,7914949.631098645
1992,2021-08-07 02:01:35.860,0.06758396847088301,7916442.866306581,7916442.866306581
1991,2021-08-07 01:00:22.780,0.067484397573648,7885369.569986419,7885369.569986419
1990,2021-08-07 00:00:14.981,0.06753113777642901,7898556.551062703,7898556.551062703
1989,2021-08-06 23:01:19.085,0.067725501813858,7939501.163336711,7939501.163336711
1988,2021-08-06 22:01:50.902,0.067918586264737,7943436.841837343,7943436.841837343
