,Unnamed: 0,market_tms,btc_price,mkt_cap,total_volumes,prev,btc_price2,btc_price3,btc_price4,btc_price5,btc_price6,btc_price7,btc_price8,btc_price9,btc_price10,btc_price11,btc_price12,btc_price13,btc_price14,btc_price15,btc_price16,btc_price17,btc_price18,btc_price19,btc_price20,btc_price24,btc_price72,next,n_bp,sell,go,p_go,p_sell,o3_go,o3_sell,conviction_go,conviction_sell,sell_signal,go_signal,dt,bitcoin,isPartial,buy_q,sell_q,q,sell_rev,buy_cost,TRev,TCost,curr_val,cash_flow,hold_val,pnl,algo_rt,trade_ind
2042,2042,2021-08-09 02:51:42.000,43444.66081597271,815813081881.8032,815813081881.8032,43224.41517649429,43334.5379962335,43237.0458703085,43254.40014311501,43440.09078456663,43586.16244715849,43715.08965449779,43792.28658749379,43801.60326966435,43826.84451128169,43805.572362020524,43814.52692181021,43803.730255895694,43821.1256539181,43851.25922454268,43882.92537770816,43923.30185362369,43958.39162654671,44000.410470791205,44036.29822904963,44192.550708373456,43666.4938995763,43814.52692181021,-0.009532780280728348,0,0,0.9842170122941055,0.8391463704614301,0.9761761144451738,0.7917302607945709,24.356662058662078,1.876665684726395,0,1,2021-08-09,20.0,False,0.2435666205866208,0.0,26.006750817816005,0.0,10581.669217478457,68245.97075436988,1049733.9928357217,1129854.4682055372,-981488.0220813518,65166.99122395906,83199.45490022628,2.276711619450024,1
2041,2041,2021-08-09 02:01:00.170,43224.41517649429,813508239211.2329,813508239211.2329,43054.69231227272,43139.553744383506,43271.75441592151,43505.61986640988,43732.23410975034,43862.3461078288,43869.4835204898,43895.27750283096,43852.085752899024,43851.875131978435,43823.48148159988,43830.1405795005,43838.5210519405,43869.0227994949,43914.59153087364,43949.29123521764,43993.481399469725,44030.483824078714,44072.18598730805,44111.548144705645,44268.89366004817,43620.15930219535,43814.52692181021,-0.009532780280728348,0,0,0.980174403356472,0.8377590729008925,0.9788251122002581,0.8042375474280317,39.76030437474321,2.0125679371409904,0,1,2021-08-09,20.0,False,0.39760304374743205,0.0,25.763184197229386,0.0,17186.159038376823,68245.97075436988,1039152.3236182432,1113598.5700095396,-970906.3528638734,64836.622764741434,77855.59438092481,2.2007965723850624,1
2040,2040,2021-08-09 01:01:04.252,43054.69231227272,810075316272.3046,810075316272.3046,43753.21786264632,43403.955087459515,43739.48531689825,43963.47659112672,43992.458105907244,44011.66651636746,43921.07148517213,43906.230353793864,43851.664511057854,43846.960559081184,43836.79967740108,43853.85428275937,43899.524547049296,43933.34292614513,43983.99093956168,44019.85803551598,44067.48624868772,44107.418513965575,44150.91030210324,44189.71522849763,44338.29655171095,43570.62877559416,43814.52692181021,-0.009532780280728348,0,0,0.9862476113431462,0.8441815130381454,0.9911601124300158,0.8373069968256562,43.294469046897525,2.141686919935799,0,1,2021-08-09,20.0,False,0.43294469046897527,0.0,25.365581153481955,0.0,18640.30043637388,68245.97075436988,1021966.1645798663,1092107.2918851492,-953720.1938254965,64582.038468409075,73805.05959124365,2.142810932289573,1
2039,2039,2021-08-09 00:00:50.195,43753.21786264632,821704814136.0109,821704814136.0109,44396.813230027634,44075.015546336974,44187.46786535518,44165.90498962067,44030.87492682767,43958.56718495246,43891.38922241561,43851.37592699624,43842.25660710451,43834.509989599406,43870.90888811765,43896.74411454603,43967.16130524098,43997.34537382218,44055.725131470295,44093.9743471444,44147.350779243425,44184.089659703706,44228.52015489204,44268.99577748576,44391.39622466461,43518.29789998359,43814.52692181021,-0.009532780280728348,0,0,0.9821712326613176,0.8321585875755583,0.984222703761787,0.8173996218900115,49.89886999420456,2.0852212836858732,0,1,2021-08-09,20.0,False,0.4989886999420456,0.0,24.93263646301298,0.0,21832.361299562974,68245.97075436988,1003325.8641434924,1090883.0750563664,-935079.8933891226,65629.82679396948,90173.35487327435,2.373969112494444,1
2038,2038,2021-08-08 23:00:30.736,44396.813230027634,833057751889.2734,833057751889.2734,44203.02713871914,44299.92018437339,44144.342113886145,43987.793024606726,43886.25944307724,43818.70344722487,43811.36263157688,43793.450730427496,43826.76337209428,43839.3173583835,43922.57934097439,43955.34990211978,44027.529442403385,44068.563093300654,44132.22356281849,44171.88838169517,44220.82854016401,44262.12952661746,44309.47140007951,44346.22616448323,44430.181646586825,43463.66921851574,43814.52692181021,-0.009532780280728348,0,0,0.9802167565681921,0.8284094478823212,0.9853703764281978,0.7665583427269684,45.92482448591218,1.8205000590206404,0,1,2021-08-08,20.0,False,0.45924824485912186,0.0,24.433647763070933,0.0,20389.15855322843,68245.97075436988,981493.5028439295,1084776.0962653428,-913247.5320895596,66595.21984504146,104933.34433074173,2.575688834347393,1
2037,2037,2021-08-08 22:01:09.740,44203.02713871914,830149425800.3225,830149425800.3225,43774.50094807867,43988.7640433989,43831.243935327315,43743.68016567265,43751.1474513725,43735.79813061631,43775.53882927813,43786.61875962697,43851.8713446727,43896.82207410615,43988.12046326516,44039.93253471645,44109.59674419791,44159.046645884046,44211.55320057184,44260.17502931326,44303.430513070896,44346.05548877938,44382.98092888695,44413.044316420455,44465.03024253251,43407.08717893687,43814.52692181021,-0.009532780280728348,0,0,0.9781954759882244,0.821422176561177,0.9778732352176868,0.7339484409675265,46.231596476943196,1.6203881774956013,0,1,2021-08-08,20.0,False,0.462315964769432,0.0,23.97439951821181,0.0,20435.765137366325,68245.97075436988,961104.344290701,1059741.0325380117,-892858.3735363311,66304.54070807871,100578.11829360184,2.5169114697049273,1
2036,2036,2021-08-08 21:01:14.850,43774.50094807867,822100142458.7426,822100142458.7426,43572.94670643278,43673.72382725572,43656.11639601798,43685.8587748353,43720.44880986012,43754.81087017743,43797.698689975805,43843.477088705884,43941.77280353957,44013.4072055811,44091.74460616775,44153.15152037554,44208.496547570176,44267.66799182141,44308.796858054666,44355.286628582435,44388.680464487814,44425.59085675594,44443.10770395398,44470.668709678364,44497.92468529479,43348.46196054678,43814.52692181021,-0.009532780280728348,0,0,0.9821877713760605,0.8196789943056955,0.9823316204434878,0.7296548179428136,47.809069289979234,1.5829988928022558,0,1,2021-08-08,20.0,False,0.47809069289979234,0.0,23.51208355344238,0.0,20928.181489609546,68245.97075436988,940668.5791533346,1029229.7238014684,-872422.6083989647,65661.751422118,91145.36398038563,2.3881043683169794,1
2035,2035,2021-08-08 20:00:37.521,43572.94670643278,818314100354.4872,818314100354.4872,43704.07122312769,43638.50896478024,43715.60115365262,43752.238387019,43789.17293049473,43820.8093157234,43889.25548743597,43978.238733977574,44085.041607622596,44155.20474557407,44214.55843458331,44283.24569574579,44326.839436072616,44376.44364647106,44401.776399110204,44440.147215122,44462.50124902403,44493.19687415894,44498.22971540275,44521.25933380918,44523.32034229662,43287.84611242892,43814.52692181021,-0.009532780280728348,0,0,0.98620438384547,0.8274615792643991,0.9813187839908923,0.7351636287437954,28.278457502431586,1.6703179744493268,0,1,2021-08-08,20.0,False,0.28278457502431587,0.0,23.03399286054259,0.0,12321.757216935757,68245.97075436988,919740.3976637251,1003658.9433487753,-851494.4269093552,65359.420059649165,86805.0963797709,2.3281191341745338,1
2034,2034,2021-08-08 19:00:57.521,43704.07122312769,822737671576.5778,822737671576.5778,43881.31546192229,43792.69334252499,43788.87562038538,43814.292347432674,43852.44570095208,43932.154353437385,44067.22198051917,44152.51346248382,44225.36788352551,44303.18008010815,44351.932956908255,44404.79878530382,44426.04785686951,44459.99508727777,44478.518031133804,44512.18535051116,44523.892499293856,44549.54741557235,44544.28895221562,44558.48506342521,44537.62147794681,43225.016079401226,43814.52692181021,-0.009532780280728348,0,0,0.9861997284717884,0.8254427758333621,0.9883791623813211,0.7466907804269984,36.4158120361148,1.6776298817263613,0,1,2021-08-08,20.0,False,0.36415812036114803,0.0,22.751208285518274,0.0,15915.19242874392,68245.97075436988,907418.6404467893,994320.4273225035,-839172.6696924195,65556.10683469154,89591.65079539252,2.366640807717728,1
2033,2033,2021-08-08 18:00:37.312,43881.31546192229,825027738718.5695,825027738718.5695,43688.80033456925,43785.05789824577,43839.70907447997,43898.31809879723,44011.86300592269,44118.78753287679,44237.80494444848,44328.64991878573,44380.992276690755,44438.64410042292,44457.66461369937,44487.76073656816,44493.94231768602,44526.299134598536,44545.8526698885,44573.55702019428,44575.20233185083,44590.68170138118,44572.681174634774,44581.127415694384,44540.47934009425,43160.12480539233,43814.52692181021,-0.009532780280728348,0,0,0.9841930753094953,0.8244376623784228,0.9704420062194115,0.7697132191663741,21.89035254946549,1.7574357008759605,0,1,2021-08-08,20.0,False,0.21890352549465492,0.0,22.387050165157127,0.0,9605.774657957902,68245.97075436988,891503.4480180454,982373.2105591395,-823257.4772636755,65821.97319288344,93293.76010258052,2.4173649858413433,1
