,Unnamed: 0,market_tms,btc_price,mkt_cap,total_volumes,prev,btc_price2,btc_price3,btc_price4,btc_price5,btc_price6,btc_price7,btc_price8,btc_price9,btc_price10,btc_price11,btc_price12,btc_price13,btc_price14,btc_price15,btc_price16,btc_price17,btc_price18,btc_price19,btc_price20,btc_price24,btc_price72,next,n_bp,sell,go,p_go,p_sell,o3_go,o3_sell,conviction_go,conviction_sell,sell_signal,go_signal,dt,ethereum,isPartial,buy_q,sell_q,q,sell_rev,buy_cost,TRev,TCost,curr_val,cash_flow,hold_val,pnl,algo_rt,trade_ind
2041,2041,2021-08-09 02:00:19.000,0.068014261118194,7987264.791967095,7987264.791967095,0.067987533614921,0.06800089736655751,0.06806666150802676,0.06818889799128325,0.06832232178756777,0.06838789597910734,0.06836607343343075,0.06836889669147041,0.06834429552803471,0.0683464745937746,0.06836416034306557,0.0683907352283643,0.06844942447280009,0.06850324585629348,0.06859074663416319,0.06865478515319198,0.06874548023244781,0.06881480671093981,0.06890336859604068,0.0689732283049035,0.06925210068936459,0.06945564267809407,0.0683907352283643,-0.02774587479183721,0,0,0.9398875743606226,0.8425937867967143,0.9363759101130339,0.9153268390482355,5.945297590325611,1.416426012781922,0,0,2021-08-09,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.22100995303964,-34.02193960391167,1.9043993113094322,3.2946710378185395,2.730031626378388,0
2040,2040,2021-08-09 01:01:04.749,0.067987533614921,7963081.094865156,7963081.094865156,0.068277317684071,0.06813242564949601,0.06831113447453975,0.06845018378376137,0.06845347017064689,0.06844387249579688,0.06837171994951005,0.06835176412910379,0.0683486536595145,0.06836726508784499,0.06841731011366296,0.06846537968859898,0.06855706723978687,0.06862256863888296,0.0687188236722208,0.06878971200743114,0.06888413318943179,0.06895754672674352,0.06904308801376632,0.06911471880055928,0.06938012456884772,0.06941800616414959,0.0683907352283643,-0.02774587479183721,0,0,0.9442131262078618,0.8458422165428985,0.9168719742740974,0.929930523498843,5.601308953489709,1.4560430084417897,0,0,2021-08-09,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.205597307887636,-34.02193960391167,1.9036509412177882,3.2800067627581795,2.723008505256704,0
2039,2039,2021-08-09 00:00:51.978,0.068277317684071,8021227.927321735,8021227.927321735,0.068702368915096,0.06848984329958349,0.06858923309298301,0.06856140713681237,0.06843427482094688,0.06836440733622721,0.0683318083086975,0.0683301315535676,0.06838587651617548,0.06842268492098848,0.06851344926353498,0.06857902653117305,0.06868807003797903,0.06875935168078569,0.06886060034264146,0.06893645255305116,0.06903096026405518,0.06910522084500872,0.06918634958735222,0.06925823137615456,0.06950141483275489,0.06937676535878796,0.0683907352283643,-0.02774587479183721,0,0,0.947946000684032,0.8418840297983442,0.9393036441311272,0.9273307706941686,5.78948053512705,1.4330327488843884,0,0,2021-08-09,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.3727037892859,-34.02193960391167,1.911764895153988,3.4389992902202433,2.7988609890983693,0
2038,2038,2021-08-08 23:00:31.484,0.068702368915096,8040032.018269218,8040032.018269218,0.068674876857669,0.0686886228863825,0.06853358118064175,0.068376373610186,0.06829453985150756,0.0682646432327145,0.0683284547984377,0.06836347531348597,0.06845949332580145,0.0685229159987786,0.0686446037988111,0.06872058802432028,0.06883063332359235,0.06891037778164887,0.06901230476346083,0.06909210415371303,0.06917948142596227,0.0692572397331921,0.0693301131649569,0.06939699042919127,0.06961884616354046,0.06933231731532115,0.0683907352283643,-0.02774587479183721,0,0,0.9399979221106515,0.8302473677001849,0.9263670756311448,0.9173697224765652,5.131515239118241,1.414172530447423,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.61781324557497,-34.02193960391167,1.923666329622688,3.672207312040615,2.9089627215967804,0
2037,2037,2021-08-08 22:01:08.744,0.068674876857669,8036753.259803301,8036753.259803301,0.068082202092133,0.068378539474901,0.06821916603973024,0.06816387450097362,0.06823474661392144,0.06828203906953466,0.06839849582853426,0.0684692889471058,0.06858633867175576,0.06867610118566297,0.06879657224982942,0.06888604011479947,0.06899012223970538,0.06907935945542375,0.06917190354396519,0.06925796399574091,0.0693349980404219,0.06940993507017688,0.06946386769342566,0.06952874243366297,0.06973635153261859,0.06928498728509748,0.0683907352283643,-0.02774587479183721,0,0,0.9436246063547654,0.8352146541518863,0.9585441775749852,0.9250372280804255,5.596500874110727,1.454611266994617,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.601959713679655,-34.02193960391167,1.922896552014732,3.6571235577532537,2.9018826332188645,0
2036,2036,2021-08-08 21:01:15.476,0.068082202092133,7967356.4088361375,7967356.4088361375,0.068037383116986,0.0680597926045595,0.068108582962217,0.06820412551228175,0.06832933152514788,0.06843728570341366,0.06854008206567738,0.06864430879217348,0.06876586369957016,0.06887235387343109,0.0689755079797695,0.06907618409464585,0.06916859667114213,0.06926652937357777,0.06934402444751661,0.0694280701194281,0.06948487209993187,0.06955337335924876,0.06959361717390025,0.06965672746377517,0.06984969381540251,0.06923524756569484,0.0683907352283643,-0.02774587479183721,0,0,0.9496106608339532,0.8268873449706091,0.9682606918359788,0.917779141558448,5.760569492130966,1.39741377169702,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.26018870130906,-34.02193960391167,1.9063016585797241,3.331947438817669,2.747859486887354,0
2035,2035,2021-08-08 20:00:36.738,0.068037383116986,7992523.998825862,7992523.998825862,0.068277363522763,0.0681573733198745,0.0682996680623465,0.06843137007551076,0.06854523988167943,0.06864575846892078,0.06874853551866958,0.06886483562269406,0.06897884404729199,0.06908394890402078,0.06917686020952217,0.06928114025402013,0.06936446207601342,0.0694517740274192,0.06951211579133953,0.06958431409727547,0.06962187461856562,0.06968583642155618,0.06971983775365007,0.06977837959030105,0.06995241978120124,0.06918359335263828,0.0683907352283643,-0.02774587479183721,0,0,0.9477886401546797,0.8304823581910901,0.9600026664269381,0.9132550361685438,5.627124730425984,1.3602390992644524,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.23434345295341,-34.02193960391167,1.905046727275608,3.3073571217661337,2.736102886303455,0
2034,2034,2021-08-08 19:00:47.057,0.068277363522763,8017172.774224047,8017172.774224047,0.068606562086874,0.0684419628048185,0.068563072088675,0.06866927661919438,0.0687462770561621,0.06885356811952967,0.06898113572671856,0.06909052858643604,0.06918905376074955,0.06929653581262687,0.06938542029851809,0.0694757084166915,0.06953908597882495,0.06961277920947269,0.06965651240321145,0.06971781376497442,0.06974979822454676,0.06980632621404781,0.06983692142695203,0.06989020013060533,0.070041512578028,0.06913099502894769,0.0683907352283643,-0.02774587479183721,0,0,0.9497253294962703,0.8273355017252934,0.9529059257852769,0.9162204120550983,5.385651441798098,1.3486127621882027,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.372730222562765,-34.02193960391167,1.9117661786373639,3.439024440013733,2.7988729366814837,0
2033,2033,2021-08-08 18:00:37.392,0.068606562086874,8034874.310192836,8034874.310192836,0.068761800658189,0.0686841813725315,0.06877548114971375,0.06885054113642813,0.06896085918289722,0.06907712738163761,0.0691999214461535,0.06931166602708594,0.06940401786450415,0.06949615115058966,0.0695659965348649,0.06963843852468721,0.06968647244012043,0.06974959402059758,0.06977911512673741,0.06983452489110686,0.0698628542035488,0.06991144577710662,0.06994347883425864,0.06999110337270484,0.07011648291471043,0.06907804983408265,0.0683907352283643,-0.02774587479183721,0,0,0.9549040285027001,0.8284417350350364,0.9764813019532737,0.9175714486586892,6.920628168285309,1.3260073950009041,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.56256541223111,-34.02193960391167,1.9209837384324722,3.619642069886968,2.884264815713956,0
2032,2032,2021-08-08 17:00:52.890,0.068761800658189,8051821.282222957,8051821.282222957,0.068971761195603,0.06886678092689599,0.0689256011231425,0.06903455641802338,0.069193395580378,0.069326191926725,0.06942341060801836,0.06951846631627381,0.06958828443667511,0.06966286794683141,0.0697108805145095,0.06977665339368068,0.06981271560107473,0.06986522979526215,0.06988993465547631,0.06993595169340776,0.06996003735066442,0.0700044619116913,0.07003872791115104,0.07007879323487812,0.0701789930835,0.06902512212304396,0.0683907352283643,-0.02774587479183721,0,0,0.9468323904171296,0.8287089096539435,0.9673780357235248,0.9102882326758411,5.688068298993108,1.3315697992479938,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,39.652085072527946,-34.02193960391167,1.925330418429292,3.704815050186985,2.924248957334512,0
